Name Chr Start End Strand
HLA-A chr6 29942554 29945455 1
HLA-B chr6 31354483 31357158 -1
HLA-C chr6 31269169 31272071 -1
HLA-DMA chr6 32948864 32953036 -1
HLA-DMB chr6 32934971 32940807 -1
HLA-DOA chr6 33006838 33009536 -1
HLA-DOB chr6 32813216 32816951 -1
HLA-DPA1 chr6 33068650 33073570 -1
HLA-DPB1 chr6 33076042 33086238 1
HLA-DPB2 chr6 33129114 33129113 1
HLA-DQA1 chr6 32637459 32642764 1
HLA-DQA2 chr6 32741444 32746394 1
HLA-DQB1 chr6 32660236 32666607 -1
HLA-DRA chr6 32439951 32443910 1
HLA-DRB1 chr6 32579091 32589742 -1
HLA-DRB5 chr6 32517795 32530224 -1
HLA-E chr6 30489532 30492480 1
HLA-F chr6 29723464 29726407 1
HLA-G chr6 29827039 29830382 1
HLA-HFE chr6 26093232 26093231 1
HLA-H chr6 29891080 29891079 1
HLA-J chr6 30009957 30009956 1
HLA-L chr6 30266952 30266951 1
HLA-MICA chr6 31410715 31412431 1
HLA-MICB chr6 31505643 31509909 1
HLA-TAP1 chr6 32845579 32852497 -1
HLA-TAP2 chr6 32822289 32838233 -1
HLA-V chr6 29797808 29797807 1
